rf_01,catboost_01,lgbm_01,index
0.94,0.9607359488141921,0.9747640546177326,6309
0.2,0.2837059852957349,0.15688019002667608,218
0.63,0.6161598957794608,0.5885289965239336,3270
0.31,0.3604188453967479,0.37051412085325924,2101
0.56,0.5063383372824298,0.42750089387621343,2918
0.09,0.08345734782952942,0.048761107605616916,7593
0.71,0.5889827826316308,0.7421200844314538,421
0.95,0.9323445252189085,0.9789315387976449,2959
0.36,0.3656294939478146,0.28250438792412763,4283
0.05,0.05853198313894372,0.05232096322897947,4923
0.82,0.9486201127253316,0.949659523777105,319
0.83,0.8590190087163837,0.7922728350238278,6852
0.03,0.0510859694165711,0.023397431581296636,9227
0.0,0.008856080103539422,0.0027199366223835237,8649
0.88,0.9276582947224751,0.8736036460380266,555
0.49,0.5319733570305889,0.5748533710829719,571
0.53,0.5722113637435043,0.6329703892784353,2563
0.57,0.6070784703989536,0.5567450363528414,2908
0.89,0.8598067069499239,0.9226694043468768,9989
0.86,0.8388324556726082,0.8682376005936254,2226
0.2,0.3339418123923046,0.1898942012343405,2880
0.53,0.5377480301064549,0.6570781037928586,7988
0.34,0.46127777391478114,0.4400029729134374,5281
0.74,0.9032301726984288,0.9793676828806342,4801
0.05,0.1101676374269961,0.0385047293891749,8742
0.0,0.07977559221635613,0.02409078873046369,6256
0.6,0.3636143947954192,0.7719821815776908,8836
0.52,0.5383657109177807,0.5822278094856123,8156
0.35,0.3931075908771892,0.29334221869170574,8274
0.64,0.6566459148138946,0.772930535964696,2859
0.76,0.8205191756563965,0.7662952993507118,9162
0.61,0.6436483816129578,0.6136908250820182,8951
0.58,0.5428141666695376,0.6300529288538643,1908
0.67,0.6127158248620236,0.5843303675183638,1601
0.72,0.5840104506319301,0.6510831266936512,8220
0.6,0.5787875328440912,0.5901322767636168,7554
0.55,0.5738225889335307,0.5584825533215865,6963
0.77,0.7647284087924522,0.6839465457503304,5575
0.05,0.06523039811728364,0.04820216610574111,3630
0.69,0.741191693607983,0.7331980931131628,4854
0.56,0.5830939317082358,0.47984817796218954,9567
0.09,0.06967990287721698,0.04270467650254088,1791
0.37,0.500373076492042,0.323948899199206,9768
0.7,0.6227845494184772,0.6181860872477856,5718
0.44,0.530248520395874,0.5153185026371053,4088
0.44,0.46809813887352136,0.4513988446462925,6112
0.44,0.43025030925315405,0.43330480707463,5753
0.51,0.4820386936259845,0.4873123835666693,3839
0.5,0.41385964532044434,0.3869192844882579,7542
0.07,0.08807341053629227,0.02825485428282432,10039
0.4,0.5460111539929884,0.4955912764652132,3222
0.04,0.08814691310086602,0.05322036298857627,8116
0.41,0.48951530992026243,0.4297166555011534,2631
