rf_01,catboost_01,lgbm_01,catboost_best_01,rf_best,lgbm_best,index
0.94,0.960735948814192,0.9747640546177326,0.9683636437651314,0.9369392320859157,0.9363109896737684,6309
0.2,0.2837059852957349,0.156880190026676,0.30597811411677245,0.2931443860522745,0.25846005773398323,218
0.63,0.6161598957794608,0.5885289965239336,0.6169411455683508,0.640958186451102,0.6018202747497775,3270
0.31,0.3604188453967479,0.3705141208532592,0.38359597448600397,0.36931247027373076,0.3170813738437562,2101
0.56,0.5063383372824298,0.4275008938762134,0.4438999126059484,0.49004067268453927,0.44636720813702196,2918
0.09,0.0834573478295294,0.0487611076056169,0.07277348573063945,0.09053962761255165,0.08715507240065476,7593
0.71,0.5889827826316308,0.7421200844314538,0.6118771401244696,0.6069132156969632,0.7282946785666126,421
0.95,0.9323445252189084,0.9789315387976448,0.9568164317285717,0.9159923176115955,0.9054872697107803,2959
0.36,0.3656294939478146,0.2825043879241276,0.37086547861025815,0.3447528082301964,0.33537020118220373,4283
0.05,0.0585319831389437,0.0523209632289794,0.07365746944730575,0.05447478873398496,0.06515966825614486,4923
0.82,0.9486201127253316,0.949659523777105,0.963429519369187,0.8884809801138228,0.8785965483603408,319
0.83,0.8590190087163837,0.7922728350238278,0.8642611986943001,0.8326094536958163,0.80307073968036,6852
0.03,0.0510859694165711,0.0233974315812966,0.04900229973646766,0.04781485034341407,0.057885548627461376,9227
0.0,0.0088560801035394,0.0027199366223835,0.0036500257070234705,0.00960874922290509,0.006140369000980028,8649
0.88,0.9276582947224752,0.8736036460380266,0.8979243337046006,0.8793681638533741,0.8378532051095376,555
0.49,0.5319733570305889,0.5748533710829719,0.5049763430396983,0.48770936853136676,0.5249517011364361,571
0.53,0.5722113637435043,0.6329703892784353,0.5992482586098387,0.5993342812641674,0.5749493497125554,2563
0.57,0.6070784703989536,0.5567450363528414,0.617047827842167,0.6248030717661743,0.6022980297667687,2908
0.89,0.8598067069499239,0.9226694043468768,0.8632295101908226,0.8890018616305387,0.8995195044735671,9989
0.86,0.8388324556726082,0.8682376005936254,0.8434028004054885,0.8423400985466497,0.825923994298148,2226
0.2,0.3339418123923046,0.1898942012343405,0.32061156930656604,0.2930242981464347,0.22754067664972183,2880
0.53,0.5377480301064549,0.6570781037928586,0.5212368394028987,0.4840078410402957,0.5130294454120776,7988
0.34,0.4612777739147811,0.4400029729134374,0.46289234335591184,0.43050712815413816,0.3845501726838899,5281
0.74,0.9032301726984288,0.9793676828806342,0.865210924958956,0.7114010670222725,0.8033350494182578,4801
0.05,0.1101676374269961,0.0385047293891749,0.08834945393882244,0.056283994974531015,0.07027345073527862,8742
0.0,0.0797755922163561,0.0240907887304636,0.06218339385749774,0.03877665956758221,0.0648116703074468,6256
0.6,0.3636143947954192,0.7719821815776908,0.40647797259440455,0.4763003949538113,0.48657181464990995,8836
0.52,0.5383657109177807,0.5822278094856123,0.5169000734366407,0.536828199584825,0.5295865566952186,8156
0.35,0.3931075908771892,0.2933422186917057,0.3457189251549487,0.3579829131074081,0.3789727037704961,8274
0.64,0.6566459148138946,0.772930535964696,0.692760316999375,0.6843838824754079,0.6936622478386125,2859
0.76,0.8205191756563965,0.7662952993507118,0.8143269647937876,0.7937986527435452,0.7969666606421829,9162
0.61,0.6436483816129578,0.6136908250820182,0.6131039908708245,0.6482126180898578,0.6229066342715172,8951
0.58,0.5428141666695376,0.6300529288538643,0.5882001525894672,0.5780086699702409,0.5763045765422309,1908
0.67,0.6127158248620236,0.5843303675183638,0.5981521281682941,0.6279308016081512,0.6067876385283966,1601
0.72,0.5840104506319301,0.6510831266936512,0.5900940590481941,0.6412309092644849,0.6438098475225713,8220
0.6,0.5787875328440912,0.5901322767636168,0.58164931933651,0.5854306133011898,0.552462483779226,7554
0.55,0.5738225889335307,0.5584825533215865,0.5545779936269581,0.5720035666326374,0.5780952485701725,6963
0.77,0.7647284087924522,0.6839465457503304,0.7812010481492034,0.7819947148570716,0.7199369347086738,5575
0.05,0.0652303981172836,0.0482021661057411,0.06057308719042798,0.05795493123868077,0.04777400831153038,3630
0.69,0.741191693607983,0.7331980931131628,0.7549487132458697,0.7172943378269041,0.7748712667988812,4854
0.56,0.5830939317082358,0.4798481779621895,0.6255939234154487,0.5335924989109034,0.6075359008932686,9567
0.09,0.0696799028772169,0.0427046765025408,0.06766972422121582,0.05398444904441829,0.08135980470451094,1791
0.37,0.500373076492042,0.323948899199206,0.4483338404560412,0.47057194321981166,0.4627605051326549,9768
0.7,0.6227845494184772,0.6181860872477856,0.611588152692523,0.6336975434371909,0.6373684203624641,5718
0.44,0.530248520395874,0.5153185026371053,0.5236084640908744,0.5054076531765244,0.4834601685247169,4088
0.44,0.4680981388735213,0.4513988446462925,0.44991779868111836,0.4275404618472645,0.41743304149335725,6112
0.44,0.430250309253154,0.43330480707463,0.4440711209755141,0.44196328161215354,0.4294871971376004,5753
0.51,0.4820386936259845,0.4873123835666693,0.4751939036462403,0.4810838923797494,0.47818960809537503,3839
0.5,0.4138596453204443,0.3869192844882579,0.43913784769819,0.44704218076820074,0.4070744658375058,7542
0.07,0.0880734105362922,0.0282548542828243,0.08951865759392955,0.12680743323955618,0.05943986015869015,10039
0.4,0.5460111539929884,0.4955912764652132,0.5549198222039797,0.5332970761389814,0.559044095226722,3222
0.04,0.088146913100866,0.0532203629885762,0.06953911967309818,0.07687968843900278,0.054876510631141164,8116
0.41,0.4895153099202624,0.4297166555011534,0.4563066642987504,0.4789502854321701,0.5033145745719465,2631
0.3,0.3703894895046139,0.2953574228357578,0.35117281023456515,0.325614774874056,0.36987985086309494,7007
1.0,0.9775447449183592,0.9971785275807614,0.9859557158925281,0.9589215096387069,0.9861403632297395,5932
1.0,0.9856055584669196,0.9990134376690152,0.9919318989626483,0.987542463050806,0.9898778078509418,2873
0.34,0.3587764331440002,0.416986017243658,0.39434451979306756,0.3900400335994698,0.3899238508184003,9292
0.25,0.0913962005969125,0.1709392726874327,0.13809399030749103,0.113792348495443,0.10326556516098889,5515
0.74,0.8470342163452215,0.7620908058683458,0.8386211210463808,0.8238796177570785,0.8086004311510481,1153
0.01,0.0111455071187661,0.0034965144929117,0.0033955292419150006,0.010195462245009385,0.005103364087756617,7215
0.54,0.4806121449547546,0.4211918314218991,0.5071762009824361,0.476301864094215,0.4528661915288073,8525
0.92,0.8854205329621851,0.9452122316308672,0.8624462335161421,0.8568561626088461,0.8923906905524293,9904
0.42,0.5122657767654432,0.4665986842454834,0.5021045156677083,0.482951384430977,0.5143354824319146,10486
0.51,0.5085743342384355,0.4748877530197483,0.49514962802332213,0.49109332876175504,0.47077796759012086,6221
0.56,0.5048825066589131,0.4872784410918309,0.4711435749764311,0.5143465123689004,0.5056892471183807,8982
0.95,0.9539510534305472,0.9990071882911256,0.981587066969302,0.9459444516474612,0.9892487061114303,8897
0.53,0.5715604450202388,0.4895036934153544,0.569834578740363,0.5572590544932261,0.6033042179538189,9933
1.0,0.9967260834637468,0.9990022227354522,0.9973320076363538,0.9890619487709366,0.9935269009748187,2902
0.58,0.4777236329581728,0.4796224887987707,0.5057922142898039,0.5176227743680497,0.44115193452339013,7412
0.95,0.9685244665722308,0.9906192731213704,0.9700172061382241,0.9095843674265448,0.9772992154285768,9313
0.97,0.9802133205954372,0.9992645824922348,0.9873815170173692,0.9401411372736731,0.99581341668221,981
1.0,0.9945385807393456,0.9985622797841808,0.996692468028334,0.9915035148679059,0.9946759759937609,3866
0.48,0.4389925295086428,0.4934967652646295,0.4353582701022536,0.4013341670121198,0.34658553970022077,8970
0.09,0.1316251358575779,0.071079529724635,0.11004078601610132,0.13500032511996873,0.05098620876181787,7580
0.38,0.3949150267778423,0.2432177401059093,0.35235353376923606,0.33704772809468286,0.28560727212661297,10160
0.02,0.0704454121452507,0.027069395305184,0.05969541482426523,0.0447513966412774,0.044157327110869345,5458
0.56,0.4134913419682332,0.4610923120170965,0.41266123786419906,0.44318924499050083,0.4318922510487152,6009
0.0,0.100936488694433,0.0529771170497849,0.09405787219223366,0.07094094155428675,0.051122005491039436,5201
0.61,0.5854423229326543,0.6238613205108464,0.5830363035083609,0.618182724489929,0.6260649737066405,4247
0.66,0.7957479126121803,0.909243092876494,0.7527880916419918,0.7172030318201091,0.8779086840862484,8284
0.48,0.5686466393569136,0.4878701529144796,0.5481357678404392,0.535429010813362,0.5460944860188155,1945
0.85,0.7807944288075359,0.9106653718662426,0.8219229209412576,0.7894234242651702,0.8763710656832168,29
0.46,0.442597596091727,0.4216373866155647,0.4774413908474847,0.4510150245107931,0.47349510734444833,586
0.27,0.2683436442467901,0.1934818840430628,0.2370978592829831,0.3315820694864935,0.36910499213695447,1631
0.42,0.4036894613909678,0.4784204611902755,0.42324277462611043,0.41393400334959224,0.4469062933957884,3558
0.73,0.8461981302756888,0.792147035028753,0.8502389676696488,0.7558611002044477,0.7726799798994615,758
